,N1,N2,N3,N4,N5,N6,N7,N8,N9,M1,M2,M3 ,,,,,,,,,
,0.0781,0.0581,9.330161934,1.881151383,10.89307011,0.68192965,23.2001,17.4001,0.827307512,RAISE,HOLD,RAISE,,,,,,,,,
,0.0781,0.0591,9.759061557,1.562908181,10.89307011,0.991962903,23.6001,17.7001,0.85652271,RAISE,HOLD,RAISE,,,,,,,,,
,0.0781,0.0601,9.881195309,1.134008558,10.89307011,1.248833639,24.0001,18.0001,0.895896332,RAISE,HOLD,RAISE,,,,,,,,,
,0.0781,0.0611,10.02695932,1.011874805,10.89307011,1.74270207,24.4001,18.3001,0.907108391,RAISE,RAISE,RAISE,,,,,,,,,
,0.0981,0.0621,10.80562245,0.866110792,10.89307011,1.98185769,24.8001,18.6001,0.920489744,RAISE,RAISE,RAISE,,,,,,,,,
,0.1181,0.0631,3.669081553,0.087447663,10.89307011,2.495205591,25.2001,18.9001,0.991972175,HOLD,LOWER,HOLD,,,,,,,,,
,0.1171,0.0631,4.646731867,7.223988561,10.89307011,8.391491408,25.2001,18.9001,0.336827131,RAISE,LOWER,RAISE,,,,,,,,,
,0.1161,0.0641,4.980456481,6.246338248,10.89307011,0.128647265,25.6001,19.2001,0.42657688,RAISE,LOWER,RAISE,,,,,,,,,
,0.1151,0.0651,5.844171053,5.912613634,10.89307011,0.159468037,26.0001,19.5001,0.457213295,RAISE,LOWER,RAISE,,,,,,,,,
,0.1141,0.0661,6.214241659,5.048899062,10.89307011,0.197684862,26.4001,19.8001,0.536503574,RAISE,LOWER,RAISE,,,,,,,,,
,0.1131,0.0671,7.154512505,4.678828455,10.89307011,0.246162246,26.8001,20.1001,0.570476605,RAISE,LOWER,RAISE,,,,,,,,,
,0.1121,0.0681,7.271044438,3.738557609,10.89307011,0.305824955,27.2001,20.4001,0.656794864,RAISE,LOWER,RAISE,,,,,,,,,
,0.1111,0.0691,7.827848724,3.622025677,10.89307011,0.388975921,27.6001,20.7001,0.667492668,RAISE,LOWER,RAISE,,,,,,,,,
,0.1101,0.0701,7.97567454,3.06522139,10.89307011,0.43223596,28.0001,21.0001,0.718608128,RAISE,LOWER,RAISE,,,,,,,,,
,0.1091,0.0711,8.69494605,2.917395574,10.89307011,0.520397944,28.4001,21.3001,0.732178757,RAISE,LOWER,RAISE,,,,,,,,,
,0.1081,0.0721,8.889331039,2.198124064,10.89307011,0.596075906,28.8001,21.6001,0.798208949,RAISE,LOWER,RAISE,,,,,,,,,
,0.1071,0.0731,9.857960494,2.003739076,10.89307011,0.808810675,29.2001,21.9001,0.81605378,RAISE,HOLD,RAISE,,,,,,,,,
,0.1071,0.0741,10.26307116,1.035109621,10.89307011,0.983956505,29.6001,22.2001,0.904975401,RAISE,HOLD,RAISE,,,,,,,,,
,0.1071,0.0751,4.319168445,0.629998959,10.89307011,1.982992129,30.0001,22.5001,0.942165161,RAISE,HOLD,RAISE,,,,,,,,,
,0.1071,0.0761,4.971854609,6.57390167,10.89307011,1.371166852,30.4001,22.8001,0.396506072,RAISE,HOLD,RAISE,,,,,,,,,
,0.1071,0.0771,5.075555931,5.921215506,10.89307011,0.151260389,30.8001,23.1001,0.45642363,RAISE,HOLD,RAISE,,,,,,,,,
,0.1071,0.0781,6.049114751,5.817514184,10.89307011,0.171436285,31.2001,23.4001,0.465943566,RAISE,HOLD,RAISE,,,,,,,,,
,0.1071,0.0791,6.868401768,4.843955363,10.89307011,0.207962183,31.6001,23.7001,0.55531771,RAISE,HOLD,RAISE,,,,,,,,,
,0.1071,0.0801,7.728124155,4.024668347,10.89307011,0.283586501,32.0001,24.0001,0.630529474,RAISE,HOLD,RAISE,,,,,,,,,
,0.1071,0.0811,8.539672333,3.16494596,10.89307011,0.384037813,32.4001,24.3001,0.709453265,RAISE,HOLD,RAISE,,,,,,,,,
,0.1071,0.0821,9.231202869,2.353397782,10.89307011,0.539640957,32.8001,24.6001,0.783954592,RAISE,HOLD,RAISE,,,,,,,,,
,0.1071,0.0831,9.930919681,1.661867246,10.89307011,0.784500006,33.2001,24.9001,0.847438121,RAISE,HOLD,RAISE,,,,,,,,,
,0.1071,0.0841,10.18776849,0.962150433,10.89307011,1.195151984,33.6001,25.2001,0.911673163,RAISE,RAISE,RAISE,,,,,,,,,
,0.1271,0.0851,2.620968805,0.705301624,10.89307011,2.117708029,34.0001,25.5001,0.935252264,RAISE,RAISE,RAISE,,,,,,,,,
,0.1471,0.0861,3.331167004,8.27210131,10.89307011,0.743219274,34.4001,25.8001,0.240608825,RAISE,HOLD,RAISE,,,,,,,,,
,0.1471,0.0871,4.145429299,7.561903111,10.89307011,0.080539802,34.8001,26.1001,0.305806074,RAISE,LOWER,RAISE,,,,,,,,,
,0.1461,0.0881,4.84462742,6.747640816,10.89307011,0.109639842,35.2001,26.4001,0.380556561,RAISE,LOWER,RAISE,,,,,,,,,
,0.1451,0.0891,5.430397402,6.048442695,10.89307011,0.143594704,35.6001,26.7001,0.444743986,RAISE,LOWER,RAISE,,,,,,,,,
,0.1441,0.0901,5.595884467,5.462672712,10.89307011,0.17956349,36.0001,27.0001,0.498518539,RAISE,LOWER,RAISE,,,,,,,,,
,0.1431,0.0911,5.674339587,5.297185647,10.89307011,0.204877164,36.4001,27.3001,0.513710497,RAISE,LOWER,RAISE,,,,,,,,,
,0.1421,0.0921,6.444903703,5.218730528,10.89307011,0.214239786,36.8001,27.6001,0.520912794,RAISE,LOWER,RAISE,,,,,,,,,
,0.1411,0.0931,6.687708564,4.448166412,10.89307011,0.246991243,37.2001,27.9001,0.591651723,RAISE,LOWER,RAISE,,,,,,,,,
,0.1401,0.0941,7.066247085,4.205361551,10.89307011,0.30069507,37.6001,28.2001,0.61394157,RAISE,LOWER,RAISE,,,,,,,,,
,0.1391,0.0951,7.43962697,3.82682303,10.89307011,0.336058957,38.0001,28.5001,0.648691967,RAISE,HOLD,RAISE,,,,,,,,,
,0.1391,0.0961,8.386732483,3.453443145,10.89307011,0.38881479,38.4001,28.8001,0.682968795,RAISE,HOLD,RAISE,,,,,,,,,
,0.1391,0.0971,9.273620763,2.506337632,10.89307011,0.485702653,38.8001,29.1001,0.769914486,RAISE,HOLD,RAISE,,,,,,,,,
,0.1391,0.0981,9.717039296,1.619449352,10.89307011,0.740013687,39.2001,29.4001,0.851332146,RAISE,HOLD,RAISE,,,,,,,,,
,0.1391,0.0991,10.60353974,1.176030819,10.89307011,1.200042383,39.6001,29.7001,0.892038626,RAISE,HOLD,RAISE,,,,,,,,,
,0.1391,0.1001,3.814440584,0.28953037,10.89307011,1.803275828,40.0001,30.0001,0.973420682,RAISE,HOLD,STOP,,,,,,,,,
,0.1391,0.1011,3.852475779,7.07862953,10.89307011,2.634915699,0.0001,0.0001,0.350171306,RAISE,HOLD,RAISE,,,,,,,,,
,0.1391,0.1021,4.16329759,7.040594336,10.89307011,0.108848069,0.4001,0.3001,0.353662993,RAISE,HOLD,RAISE,,,,,,,,,
,0.1391,0.1031,4.179601237,6.729772525,10.89307011,0.118265515,0.8001,0.6001,0.382196896,RAISE,HOLD,RAISE,,,,,,,,,
,0.1391,0.1041,4.439811942,6.713468877,10.89307011,0.124212259,1.2001,0.9001,0.383693595,RAISE,HOLD,RAISE,,,,,,,,,
,0.1391,0.1051,5.324235624,6.453258173,10.89307011,0.132265808,1.6001,1.2001,0.407581324,RAISE,HOLD,RAISE,,,,,,,,,
,0.1391,0.1061,5.799996196,5.568834491,10.89307011,0.165009224,2.0001,1.5001,0.488772731,RAISE,HOLD,RAISE,,,,,,,,,
,0.1391,0.1071,6.796977548,5.093073919,10.89307011,0.208301978,2.4001,1.8001,0.532448257,RAISE,HOLD,RAISE,,,,,,,,,
,0.1391,0.1081,7.133073166,4.096092567,10.89307011,0.266910618,2.8001,2.1001,0.623972624,RAISE,RAISE,RAISE,,,,,,,,,
,0.1591,0.1091,7.512235287,3.759996949,10.89307011,0.348286717,3.2001,2.4001,0.654826701,RAISE,RAISE,RAISE,,,,,,,,,
,0.1791,0.1101,8.003979143,3.380834828,10.89307011,0.399587308,3.6001,2.7001,0.689634346,RAISE,HOLD,RAISE,,,,,,,,,
,0.1791,0.1111,8.749944025,2.889090972,10.89307011,0.473491285,4.0001,3.0001,0.734777162,RAISE,LOWER,RAISE,,,,,,,,,
,0.1781,0.1121,9.417388555,2.14312609,10.89307011,0.605722984,4.4001,3.3001,0.803257845,RAISE,LOWER,RAISE,,,,,,,,,
,0.1771,0.1131,9.885475307,1.47568156,10.89307011,0.878845962,4.8001,3.6001,0.864530243,RAISE,LOWER,RAISE,,,,,,,,,
,0.1761,0.1141,10.43644163,1.007594808,10.89307011,1.339784351,5.2001,3.9001,0.907501302,RAISE,LOWER,RAISE,,,,,,,,,
,0.1751,0.1151,6.504983934,0.456628482,10.89307011,2.071555262,5.6001,4.2001,0.958080828,RAISE,LOWER,RAISE,,,,,,,,,
,0.1741,0.1161,7.400025829,4.388086181,10.89307011,2.849136304,6.0001,4.5001,0.597167177,RAISE,LOWER,RAISE,,,,,,,,,
,0.1731,0.1171,7.712105826,3.493044286,10.89307011,0.337278054,6.4001,4.8001,0.679333351,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1181,8.139447626,3.180964289,10.89307011,0.441569313,6.8001,5.1001,0.707982758,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1191,8.859667465,2.753622488,10.89307011,0.511759761,7.2001,5.4001,0.74721337,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1201,9.493234724,2.033402649,10.89307011,0.643491801,7.6001,5.7001,0.81333062,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1211,10.36012275,1.399835391,10.89307011,0.933728962,8.0001,6.0001,0.871493034,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1221,10.57080176,0.532947366,10.89307011,1.480191573,8.4001,6.3001,0.951074641,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1231,6.49358464,0.322268354,10.89307011,3.966921474,8.8001,6.6001,0.970415287,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1241,6.519797466,4.399485474,10.89307011,4.029923862,9.2001,6.9001,0.596120705,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1251,6.740455259,4.373272649,10.89307011,0.296389089,9.6001,7.2001,0.598527082,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1261,7.504040888,4.152614856,10.89307011,0.308256804,10.0001,7.5001,0.618783794,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1271,8.41842547,3.389029227,10.89307011,0.361412804,10.4001,7.8001,0.688882088,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1281,8.807010933,2.474644645,10.89307011,0.496804536,10.8001,8.1001,0.77282395,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1291,9.263274502,2.086059182,10.89307011,0.711779847,11.2001,8.4001,0.808496672,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1301,9.734988537,1.629795613,10.89307011,0.888112339,11.6001,8.7001,0.850382344,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1311,10.32144522,1.158081578,10.89307011,1.194626916,12.0001,9.0001,0.893686393,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1321,4.584751402,0.571624899,10.89307011,1.782507453,12.4001,9.3001,0.947523986,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1331,5.388750805,6.308318712,10.89307011,1.60411186,12.8001,9.6001,0.420886982,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1341,5.681409368,5.50431931,10.89307011,0.170845864,13.2001,9.9001,0.49469532,RAISE,HOLD,RAISE,,,,,,,,,
,0.1731,0.1351,5.837635556,5.211660746,10.89307011,0.206434585,13.6001,10.2001,0.52156181,RAISE,RAISE,RAISE,,,,,,,,,
,0.1931,0.1361,6.707910405,5.055434559,10.89307011,0.224022086,14.0001,10.5001,0.535903606,RAISE,RAISE,RAISE,,,,,,,,,
,0.2131,0.1371,6.881879469,4.185159709,10.89307011,0.265374235,14.4001,10.8001,0.615796129,RAISE,HOLD,RAISE,,,,,,,,,
,0.2131,0.1381,7.748852087,4.011190646,10.89307011,0.328870578,14.8001,11.1001,0.631766747,RAISE,LOWER,RAISE,,,,,,,,,
,0.2121,0.1391,8.204789864,3.144218028,10.89307011,0.386361695,15.2001,11.4001,0.71135612,RAISE,LOWER,RAISE,,,,,,,,,
,0.2111,0.1401,8.402798977,2.688280251,10.89307011,0.521897005,15.6001,11.7001,0.753211884,RAISE,LOWER,RAISE,,,,,,,,,
,0.2101,0.1411,8.614022967,2.490271138,10.89307011,0.62514308,16.0001,12.0001,0.771389414,RAISE,LOWER,RAISE,,,,,,,,,
,0.2091,0.1421,8.941546013,2.279047147,10.89307011,0.691814063,16.4001,12.3001,0.79078009,RAISE,HOLD,RAISE,,,,,,,,,
,0.2091,0.1431,9.613685172,1.951524102,10.89307011,0.784674071,16.8001,12.6001,0.820847192,RAISE,HOLD,RAISE,,,,,,,,,
,0.2091,0.1441,9.999865026,1.279384942,10.89307011,0.985248931,17.2001,12.9001,0.882550564,RAISE,HOLD,RAISE,,,,,,,,,
,0.2091,0.1451,10.66082558,0.893205088,10.89307011,1.563230064,17.6001,13.2001,0.918002448,RAISE,HOLD,RAISE,,,,,,,,,
,0.2091,0.1461,10.24831322,0.232244537,10.89307011,2.387094681,18.0001,13.5001,0.978679607,RAISE,HOLD,STOP,,,,,,,,,
,0.2091,0.1471,10.71802384,0.644756898,10.89307011,8.825450414,0.0001,0.0001,0.94081036,RAISE,HOLD,RAISE,,,,,,,,,
,0.2091,0.1481,1.941303746,0.175046274,10.89307011,3.324671323,0.4001,0.3001,0.983930492,HOLD,STOP,HOLD,,,,,,,,,
,0.0001,0.1481,2.038253832,8.951766369,10.89307011,2.218046354,0.4001,0.3001,0.178214564,RAISE,HOLD,RAISE,,,,,,,,,
,0.0001,0.1491,2.643884937,8.854816282,10.89307011,0.045538584,0.8001,0.6001,0.187114726,RAISE,RAISE,RAISE,,,,,,,,,
,0.0201,0.1501,2.858487253,8.249185178,10.89307011,0.059716314,1.2001,0.9001,0.24271256,RAISE,RAISE,RAISE,,,,,,,,,
,0.0401,0.1511,2.896914156,8.034582862,10.89307011,0.069303506,1.6001,1.2001,0.262413371,RAISE,RAISE,RAISE,,,,,,,,,
,0.0601,0.1521,3.081246691,7.996155958,10.89307011,0.072111128,2.0001,1.5001,0.265941018,RAISE,RAISE,RAISE,,,,,,,,,
,0.0801,0.1531,3.327830161,7.811823424,10.89307011,0.077068199,2.4001,1.8001,0.282863018,RAISE,RAISE,RAISE,,,,,,,,,
,0.1001,0.1541,3.788615762,7.565239954,10.89307011,0.085199831,2.8001,2.1001,0.305499747,RAISE,RAISE,RAISE,,,,,,,,,
,0.1201,0.1551,4.151250005,7.104454353,10.89307011,0.100158509,3.2001,2.4001,0.347800549,RAISE,RAISE,RAISE,,,,,,,,,
,0.1401,0.1561,4.415005215,6.74182011,10.89307011,0.116863303,3.6001,2.7001,0.38109091,RAISE,RAISE,RAISE,,,,,,,,,
,0.1601,0.1571,4.77059105,6.4780649,10.89307011,0.130973688,4.0001,3.0001,0.40530403,RAISE,RAISE,RAISE,,,,,,,,,
,0.1801,0.1581,4.983940858,6.122479065,10.89307011,0.147284448,4.4001,3.3001,0.437947337,RAISE,RAISE,RAISE,,,,,,,,,
,0.2001,0.1591,5.183978116,5.909129257,10.89307011,0.162807935,4.8001,3.6001,0.457533166,RAISE,RAISE,RAISE,,,,,,,,,
,0.2201,0.1601,5.346118361,5.709091998,10.89307011,0.175456582,5.2001,3.9001,0.475896883,RAISE,RAISE,RAISE,,,,,,,,,
,0.2401,0.1611,5.429996862,5.546951754,10.89307011,0.187284365,5.6001,4.2001,0.490781598,RAISE,HOLD,RAISE,,,,,,,,,
,0.2401,0.1621,5.475407633,5.463073253,10.89307011,0.195783093,6.0001,4.5001,0.498481769,RAISE,HOLD,RAISE,,,,,,,,,
,0.2401,0.1631,6.265712515,5.417662482,10.89307011,0.200451555,6.4001,4.8001,0.502650545,RAISE,HOLD,RAISE,,,,,,,,,
,0.2401,0.1641,6.301487398,4.6273576,10.89307011,0.231306861,6.8001,5.1001,0.575201706,RAISE,HOLD,RAISE,,,,,,,,,
,0.2401,0.1651,6.870638642,4.591582717,10.89307011,0.272357918,7.2001,5.4001,0.578485893,RAISE,HOLD,RAISE,,,,,,,,,
,0.2401,0.1661,6.936664449,4.022431473,10.89307011,0.299271039,7.6001,5.7001,0.630734822,RAISE,HOLD,RAISE,,,,,,,,,
,0.2401,0.1671,7.010710033,3.956405666,10.89307011,0.344899074,8.0001,6.0001,0.636796089,RAISE,HOLD,RAISE,,,,,,,,,
,0.2401,0.1681,7.362505584,3.882360082,10.89307011,0.354397937,8.4001,6.3001,0.643593584,RAISE,HOLD,RAISE,,,,,,,,,
,0.2401,0.1691,7.870884756,3.530564531,10.89307011,0.379279893,8.8001,6.6001,0.675888937,RAISE,HOLD,RAISE,,,,,,,,,
,0.2401,0.1701,8.362020301,3.022185359,10.89307011,0.445871174,9.2001,6.9001,0.7225589,RAISE,HOLD,RAISE,,,,,,,,,
